task,scenario,accuracy,sample_latency_average,accelerator_type,benchmark_model
Image Classification,Single-Stream,72.83,1.562555092,RTX PRO 6000 Max-Q,resnet50_w0_5
Image Classification,Single-Stream,75.34,2.958810153,RTX PRO 6000 Max-Q,resnet34_w1_0
Image Classification,Single-Stream,75.51,4.393188671,RTX PRO 6000 Max-Q,resnet18_w2_0
Image Classification,Single-Stream,74.76,2.482833636,RTX PRO 6000 Max-Q,resnet18_w1_5
Image Classification,Single-Stream,71.66,1.428458304,RTX PRO 6000 Max-Q,resnet18_w1_0
Image Classification,Single-Stream,69.25,1.0931511740000002,RTX PRO 6000 Max-Q,resnet18_w0_75
Image Classification,Single-Stream,51.88,0.602324806,RTX PRO 6000 Max-Q,resnet18_w0_25
Image Classification,Single-Stream,63.65,0.809221248,RTX PRO 6000 Max-Q,resnet18_w0_5
Image Classification,Single-Stream,64.76,0.719145115,RTX PRO 6000 Max-Q,resnet10_w1_0
Image Classification,Single-Stream,86.667,25.425,NVIDIA Jetson Orin,resnet101_w1_0
Image Classification,Single-Stream,86.667,37.393,NVIDIA Jetson Orin,resnet50_w2_0
Image Classification,Single-Stream,87.5,26.623,NVIDIA Jetson Orin,resnet50_w1_5
Image Classification,Single-Stream,86.667,14.984000000000002,NVIDIA Jetson Orin,resnet50_w1_0
Image Classification,Single-Stream,80.833,11.547,NVIDIA Jetson Orin,resnet50_w0_75
Image Classification,Single-Stream,73.333,7.183,NVIDIA Jetson Orin,resnet50_w0_25
Image Classification,Single-Stream,82.5,8.693,NVIDIA Jetson Orin,resnet50_w0_5
Image Classification,Single-Stream,83.333,13.504000000000001,NVIDIA Jetson Orin,resnet34_w1_0
Image Classification,Single-Stream,84.167,20.343,NVIDIA Jetson Orin,resnet18_w2_0
Image Classification,Single-Stream,80.0,13.968,NVIDIA Jetson Orin,resnet18_w1_5
Image Classification,Single-Stream,80.833,7.595,NVIDIA Jetson Orin,resnet18_w1_0
Image Classification,Single-Stream,76.667,7.227,NVIDIA Jetson Orin,resnet18_w0_75
Image Classification,Single-Stream,64.167,5.482,NVIDIA Jetson Orin,resnet18_w0_25
Image Classification,Single-Stream,75.0,9.67,NVIDIA Jetson Orin,resnet18_w0_5
Image Classification,Single-Stream,78.333,5.814,NVIDIA Jetson Orin,resnet10_w1_0
