task,scenario,accuracy,samples_per_second,accelerator_type,benchmark_model
Image Classification,Offline,86.667,46.608999999999995,NVIDIA Jetson Orin,resnet50_w2_0
Image Classification,Offline,87.5,48.117,NVIDIA Jetson Orin,resnet50_w1_5
Image Classification,Offline,86.667,106.995,NVIDIA Jetson Orin,resnet50_w1_0
Image Classification,Offline,80.833,125.965,NVIDIA Jetson Orin,resnet50_w0_75
Image Classification,Offline,73.333,219.238,NVIDIA Jetson Orin,resnet50_w0_25
Image Classification,Offline,82.5,162.166,NVIDIA Jetson Orin,resnet50_w0_5
Image Classification,Offline,83.333,159.636,NVIDIA Jetson Orin,resnet34_w1_0
Image Classification,Offline,84.167,119.296,NVIDIA Jetson Orin,resnet18_w2_0
Image Classification,Offline,80.0,152.751,NVIDIA Jetson Orin,resnet18_w1_5
Image Classification,Offline,80.0,220.148,NVIDIA Jetson Orin,resnet18_w1_0
Image Classification,Offline,76.667,235.22099999999998,NVIDIA Jetson Orin,resnet18_w0_75
Image Classification,Offline,64.167,361.47900000000004,NVIDIA Jetson Orin,resnet18_w0_25
Image Classification,Offline,75.0,305.157,NVIDIA Jetson Orin,resnet18_w0_5
Image Classification,Offline,78.333,312.758,NVIDIA Jetson Orin,resnet10_w1_0
