task,scenario,accuracy,samples_per_second,accelerator_type,input_resolution,benchmark_model,input_size,model_family,width_multiplier,throughput_offline,relative_flops,throughput_singlestream,multicore_efficiency
Image Classification,Offline,64.8,1125.023071,DeepX M1,inputResolution:336,mobilenetv2_w1_0,336,MobileNetV2,1.0,1125.023071,2.25,363.5003684992256,3.094970922986552
Image Classification,Offline,75.56,595.9656644,DeepX M1,inputResolution:320,resnet50_w1_0,320,ResNet-50,1.0,595.9656644,2.0408163265306123,214.2210041644488,2.7820132144581926
Image Classification,Offline,77.63,406.3156145,DeepX M1,inputResolution:304,resnet101_w1_0,304,ResNet-101,1.0,406.3156145,1.8418367346938778,143.49623200512463,2.831542046940225
Image Classification,Offline,75.27,609.2702965,DeepX M1,inputResolution:304,resnet50_w1_0,304,ResNet-50,1.0,609.2702965,1.8418367346938778,220.72307000262427,2.7603380856054427
Image Classification,Offline,77.92,458.2733288,DeepX M1,inputResolution:288,resnet101_w1_0,288,ResNet-101,1.0,458.2733288,1.6530612244897962,156.50045053201023,2.9282556519303173
Image Classification,Offline,75.64,712.3869179,DeepX M1,inputResolution:288,resnet50_w1_0,288,ResNet-50,1.0,712.3869179,1.6530612244897962,246.5155223809844,2.8898258049609606
Image Classification,Offline,66.78,1665.23624,DeepX M1,inputResolution:288,mobilenetv2_w1_0,288,MobileNetV2,1.0,1665.23624,1.6530612244897962,464.73770870386994,3.58317435579794
Image Classification,Offline,76.58,264.7458713,DeepX M1,inputResolution:368,resnet101_w1_0,368,ResNet-101,1.0,264.7458713,2.6989795918367343,104.41890231584497,2.535420938435074
Image Classification,Offline,76.74,346.0781523,DeepX M1,inputResolution:352,resnet101_w1_0,352,ResNet-101,1.0,346.0781523,2.4693877551020407,120.48472366772782,2.8723820063231638
Image Classification,Offline,65.27,1100.31144,DeepX M1,inputResolution:352,mobilenetv2_w1_0,352,MobileNetV2,1.0,1100.31144,2.4693877551020407,357.02507431582245,3.0818884138839793
Image Classification,Offline,75.13,520.4391424,DeepX M1,inputResolution:336,resnet50_w1_0,336,ResNet-50,1.0,520.4391424,2.25,194.69386533839076,2.673115259669032
Image Classification,Offline,77.5,393.5466512,DeepX M1,inputResolution:320,resnet101_w1_0,320,ResNet-101,1.0,393.5466512,2.0408163265306123,136.1743666520164,2.8900200593969316
Image Classification,Offline,77.51,641.5474065,DeepX M1,inputResolution:208,resnet101_w1_0,208,ResNet-101,1.0,641.5474065,0.8622448979591837,225.0227072720391,2.851034076860551
Image Classification,Offline,75.53,1035.405381,DeepX M1,inputResolution:208,resnet50_w1_0,208,ResNet-50,1.0,1035.405381,0.8622448979591837,347.0433246419005,2.983504673568903
Image Classification,Offline,65.43,3064.928468,DeepX M1,inputResolution:208,mobilenetv2_w1_0,208,MobileNetV2,1.0,3064.928468,0.8622448979591837,638.06524976987,4.803471853553258
Image Classification,Offline,74.64,1106.428368,DeepX M1,inputResolution:192,resnet50_w1_0,192,ResNet-50,1.0,1106.428368,0.7346938775510203,380.8091472440956,2.9054668880912895
Image Classification,Offline,72.61,767.7491583,DeepX M1,inputResolution:144,resnet101_w1_0,144,ResNet-101,1.0,767.7491583,0.41326530612244905,309.4907186435333,2.4806855651922857
Image Classification,Offline,66.69,1288.621957,DeepX M1,inputResolution:128,resnet50_w1_0,128,ResNet-50,1.0,1288.621957,0.32653061224489793,493.5743738799051,2.610795910797312
Image Classification,Offline,65.08,817.6422097,DeepX M1,inputResolution:112,resnet101_w1_0,112,ResNet-101,1.0,817.6422097,0.25,341.7186772858962,2.392734913391714
Image Classification,Offline,46.81,842.7130558,DeepX M1,inputResolution:80,resnet101_w1_0,80,ResNet-101,1.0,842.7130558,0.12755102040816327,387.85775070005263,2.1727374386072458
Image Classification,Offline,31.39,841.9186819,DeepX M1,inputResolution:64,resnet101_w1_0,64,ResNet-101,1.0,841.9186819,0.08163265306122448,373.0389748636498,2.2569188171496863
Image Classification,Offline,16.46,4662.846125,DeepX M1,inputResolution:64,mobilenetv2_w1_0,64,MobileNetV2,1.0,4662.846125,0.08163265306122448,1007.3631090997114,4.628764030446999
Image Classification,Offline,15.57,851.5818863,DeepX M1,inputResolution:48,resnet101_w1_0,48,ResNet-101,1.0,851.5818863,0.04591836734693877,405.7400035049931,2.0988363950894486
Image Classification,Offline,66.97,2223.099607,DeepX M1,inputResolution:256,mobilenetv2_w1_0,256,MobileNetV2,1.0,2223.099607,1.3061224489795917,536.777975590422,4.141562635007016
Image Classification,Offline,78.05,556.0050827,DeepX M1,inputResolution:240,resnet101_w1_0,240,ResNet-101,1.0,556.0050827,1.1479591836734693,190.7391565930574,2.915002313270361
Image Classification,Offline,66.5,2529.713614,DeepX M1,inputResolution:240,mobilenetv2_w1_0,240,MobileNetV2,1.0,2529.713614,1.1479591836734693,550.4749967276463,4.5955104755677105
Image Classification,Offline,76.15,738.4292386,DeepX M1,inputResolution:176,resnet101_w1_0,176,ResNet-101,1.0,738.4292386,0.6173469387755102,276.71556197164125,2.6685497314953204
Image Classification,Offline,74.73,751.1388994,DeepX M1,inputResolution:160,resnet101_w1_0,160,ResNet-101,1.0,751.1388994,0.5102040816326531,286.406260669931,2.6226343573740882
Image Classification,Offline,61.58,4234.95213,DeepX M1,inputResolution:160,mobilenetv2_w1_0,160,MobileNetV2,1.0,4234.95213,0.5102040816326531,787.8690056972131,5.375198287248705
Image Classification,Offline,53.85,1319.0378,DeepX M1,inputResolution:96,resnet50_w1_0,96,ResNet-50,1.0,1319.0378,0.18367346938775508,522.9509277858058,2.522297466006718
Image Classification,Offline,78.16,573.0055869,DeepX M1,inputResolution:256,resnet101_w1_0,256,ResNet-101,1.0,573.0055869,1.3061224489795917,195.99915636239925,2.923510475935529
Image Classification,Offline,76.05,894.0471933,DeepX M1,inputResolution:256,resnet50_w1_0,256,ResNet-50,1.0,894.0471933,1.3061224489795917,299.6664811254679,2.983474127443936
Image Classification,Offline,75.81,886.4433406,DeepX M1,inputResolution:240,resnet50_w1_0,240,ResNet-50,1.0,886.4433406,1.1479591836734693,299.4394941230379,2.9603420991479696
Image Classification,Offline,77.0,929.2567305,DeepX M1,inputResolution:224,resnet50_w1_0,224,ResNet-50,1.0,929.2567305,1.0,318.4550494151907,2.9180153751886886
Image Classification,Offline,76.83,686.8357284,DeepX M1,inputResolution:192,resnet101_w1_0,192,ResNet-101,1.0,686.8357284,0.7346938775510203,245.56392453781308,2.796973251232747
Image Classification,Offline,73.34,1186.701425,DeepX M1,inputResolution:176,resnet50_w1_0,176,ResNet-50,1.0,1186.701425,0.6173469387755102,410.31993518917847,2.8921368991074488
Image Classification,Offline,64.06,3943.626404,DeepX M1,inputResolution:176,mobilenetv2_w1_0,176,MobileNetV2,1.0,3943.626404,0.6173469387755102,756.9392846048587,5.209963974929207
Image Classification,Offline,69.98,1225.130221,DeepX M1,inputResolution:144,resnet50_w1_0,144,ResNet-50,1.0,1225.130221,0.41326530612244905,467.6170537489189,2.6199434156176395
Image Classification,Offline,58.74,4373.757148,DeepX M1,inputResolution:144,mobilenetv2_w1_0,144,MobileNetV2,1.0,4373.757148,0.41326530612244905,902.7155861278003,4.845110924428853
Image Classification,Offline,53.99,4518.953119,DeepX M1,inputResolution:128,mobilenetv2_w1_0,128,MobileNetV2,1.0,4518.953119,0.32653061224489793,885.4262983062702,5.1037032982240245
Image Classification,Offline,62.32,1289.498766,DeepX M1,inputResolution:112,resnet50_w1_0,112,ResNet-50,1.0,1289.498766,0.25,499.0326309837133,2.5839968890573104
Image Classification,Offline,48.52,4584.11647,DeepX M1,inputResolution:112,mobilenetv2_w1_0,112,MobileNetV2,1.0,4584.11647,0.25,903.5467854429274,5.073468849488321
