normalized_model,model_family,accelerator_type,accuracy,baseline_accuracy,accuracy_drop,accuracy_drop_percent
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,Hailo-8,76.84,77.43,0.5900000000000034,0.7619785612811615
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,Mobilint-ARIES,70.53,70.92,0.39000000000000057,0.5499153976311345
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,Mobilint-ARIES,73.64,74.44,0.7999999999999972,1.0746910263299263
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,Mobilint-ARIES,76.59,77.43,0.8400000000000034,1.0848508330104654
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,DeepX M1,70.59,70.92,0.3299999999999983,0.46531302876480296
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,DeepX M1,73.02,74.44,1.4200000000000017,1.9075765717356283
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,DeepX M1,76.51,77.43,0.9200000000000017,1.1881699599638404
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,Qualcomm QCS6490,70.13,77.43,7.300000000000011,9.427870334495687
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,Qualcomm QCS6490,73.55,74.44,0.8900000000000006,1.195593766792048
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,Qualcomm QCS6490,70.43,70.92,0.4899999999999949,0.6909193457416736
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,Apple M4 ANE,77.42,77.43,0.010000000000005116,0.01291489086917876
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,Apple M4 ANE,74.42,74.44,0.01999999999999602,0.02686727565824291
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,Apple M4 ANE,70.89,70.92,0.030000000000001137,0.04230118443316573
shufflenet_v2_x2_0,ShuffleNetV2-x2.0,RTX PRO 6000 Max-Q,77.43,77.43,0.0,0.0
shufflenet_v2_x1_5,ShuffleNetV2-x1.5,RTX PRO 6000 Max-Q,74.44,74.44,0.0,0.0
shufflenet_v2_x1_0,ShuffleNetV2-x1.0,RTX PRO 6000 Max-Q,70.92,70.92,0.0,0.0
densenet121,DenseNet-121,Mobilint-ARIES,75.93,76.19,0.2599999999999909,0.34125213282581823
densenet169,DenseNet-169,Mobilint-ARIES,77.32,77.77,0.45000000000000284,0.5786292915005823
densenet201,DenseNet-201,Mobilint-ARIES,78.0,77.94,-0.060000000000002274,-0.07698229407236627
densenet201,DenseNet-201,Qualcomm QCS6490,74.85,77.94,3.0900000000000034,3.9645881447267177
densenet169,DenseNet-169,Qualcomm QCS6490,75.92,77.77,1.8499999999999943,2.3788093095023717
densenet121,DenseNet-121,Qualcomm QCS6490,71.7,76.19,4.489999999999995,5.893161832261446
densenet201,DenseNet-201,Apple M4 ANE,77.97,77.94,-0.030000000000001137,-0.038491147036183136
densenet169,DenseNet-169,Apple M4 ANE,77.84,77.77,-0.07000000000000739,-0.09000900090009951
densenet121,DenseNet-121,Apple M4 ANE,76.18,76.19,0.009999999999990905,0.013125082031750763
densenet201,DenseNet-201,RTX PRO 6000 Max-Q,77.94,77.94,0.0,0.0
densenet169,DenseNet-169,RTX PRO 6000 Max-Q,77.77,77.77,0.0,0.0
densenet121,DenseNet-121,RTX PRO 6000 Max-Q,76.19,76.19,0.0,0.0
mobilenetv2_silu_w1_0,MobileNetV2,Apple M4 ANE,69.57,69.57,0.0,0.0
