task,scenario,accuracy,epoch_samples_per_second_min,samples_per_second,epoch_samples_per_second_max,cpu_type,accelerator_type,submitter,input_resolution,benchmark_model
Image Classification,Offline,73.5,380.7219172,380.7219172,380.7219172,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:416,resnet50_w1_0
Image Classification,Offline,61.62,704.7248559,704.7248559,704.7248559,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:416,mobilenetv2_w1_0
Image Classification,Offline,75.93,234.0698042,234.0698042,234.0698042,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:400,resnet101_w1_0
Image Classification,Offline,73.81,379.8579989,379.8579989,379.8579989,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:400,resnet50_w1_0
Image Classification,Offline,77.62,317.6067215,317.6067215,317.6067215,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:336,resnet101_w1_0
Image Classification,Offline,65.91,1246.19371,1246.19371,1246.19371,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:320,mobilenetv2_w1_0
Image Classification,Offline,60.06,613.3336595,613.3336595,613.3336595,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:448,mobilenetv2_w1_0
Image Classification,Offline,75.62,252.0527857,252.0527857,252.0527857,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:416,resnet101_w1_0
Image Classification,Offline,76.37,290.309616,290.309616,290.309616,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:384,resnet101_w1_0
Image Classification,Offline,74.65,437.4498331,437.4498331,437.4498331,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:384,resnet50_w1_0
Image Classification,Offline,74.59,431.5378317,431.5378317,431.5378317,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:368,resnet50_w1_0
Image Classification,Offline,75.43,520.4059768,520.4059768,520.4059768,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:352,resnet50_w1_0
Image Classification,Offline,64.8,1125.023071,1125.023071,1125.023071,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:336,mobilenetv2_w1_0
Image Classification,Offline,75.56,595.9656644,595.9656644,595.9656644,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:320,resnet50_w1_0
Image Classification,Offline,77.63,406.3156145,406.3156145,406.3156145,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:304,resnet101_w1_0
Image Classification,Offline,75.27,609.2702965,609.2702965,609.2702965,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:304,resnet50_w1_0
Image Classification,Offline,77.92,458.2733288,458.2733288,458.2733288,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:288,resnet101_w1_0
Image Classification,Offline,75.64,712.3869179,712.3869179,712.3869179,Rockchip RK3588,DeepX M1,"DeepX(DX-COM:2.1.0, FW: 2.4.0, DXRT: 3.1.0, RT Drivet:1.8.0)",inputResolution:288,resnet50_w1_0
